max_depth,accuracy,f1_score,roc_auc
3,0.29480269874130977,0.4254395747369986,0.38805214372201147
6,0.3046977033323638,0.44386156183142733,0.37536108309681615
9,0.2884493643814054,0.42333398042097675,0.3741930927671846
12,0.2886831944610787,0.42362738166206854,0.37396912583628905
