model,accuracy,precision,recall,f1_score
logistic_regression,0.8741986996692142,0.981603596110814,0.8307357130886542,0.8998901687407529
random_forest,0.9060682103342078,0.9869355296790685,0.8735545500251383,0.9267902386984931
xgboost,0.9005246948785217,0.9894330342561817,0.8630635160046924,0.9219380767819261
