attack_type,precision,recall,f1_score,support
Generic,0.9973665552516966,0.9814122688991878,0.9893250948182755,20067
Reconnaissance,0.8466152527849186,0.7799486875863431,0.8119157678479713,5067
Exploits,0.8819090352845197,0.5342228811465283,0.6653843194583365,16188
Fuzzers,0.7267326732673267,0.5365497076023392,0.6173254835996635,2052
Worms,0.5,0.7205882352941176,0.5903614457831325,68
Shellcode,0.42508324084350724,0.8236559139784946,0.5607613469985359,465
DoS,0.3428083653435766,0.6764359103924541,0.45501926127351006,5937
Backdoor,0.09800362976406533,0.17400644468313642,0.12538699690402477,931
Analysis,0.05082319255547602,0.09806629834254144,0.06694955209806695,724
