learning_rate,accuracy,f1_score,roc_auc
0.01,0.30540489674405874,0.4461351657397007,0.2841471842541241
0.05,0.32157339127756773,0.4649382427290147,0.30006459962568244
0.1,0.3046977033323638,0.44386156183142733,0.37536108309681615
0.2,0.2883752231366309,0.42337783569708815,0.3580384196935073
