configuration,reg_alpha,reg_lambda,accuracy,f1_score,roc_auc
L2 only,0.0,1,0.3046977033323638,0.44386156183142733,0.37536108309681615
"L1=0.1, L2=1",0.1,1,0.30443535738931565,0.443616191384242,0.37016462190577537
"L1=1, L2=1",1.0,1,0.28978960996002073,0.42499688323921486,0.37138725562224456
No regularization,0.0,0,0.2989432021033301,0.42464778843903583,0.37515049364845277
