model,sus_detection_rate,evil_detection_rate,avg_score_normal,avg_score_sus,avg_score_evil
kmeans,0.9430767705398958,0.993429357705514,2.334004995603169,2.950974135929535,6.029965214368627
dbscan,0.9405338885681125,0.9931516360331246,0.1482813489682556,1.715291681744112,11.406077311486701
gmm,0.9427093357595694,0.9930569581902646,92.52821625761418,203894.47167192548,11051986.045758775
